id,error_type,sentence_text,gold_label,gold_trigger,pred_label,pred_trigger,gold_ix,pred_ix,1_tok_error,1_tok_error_missclf,specialised context/creative language,Lexical sparse,plausible: saliency,ambiguous trigger,example,,,notes
aapl14_0,missing,iPhone X ' s Dangerous Choice Of Market Share Or Profit,Macroeconomics,Share,,,8,,,,,,,,,,,
aapl14_0,missing,iPhone X ' s Dangerous Choice Of Market Share Or Profit,Profit/Loss,Profit,,,10,,,,,,,,,,,
aapl14_1,missing,The decision by Apple to price the iPhone X at one thousand dollars says a lot about Tim Cook ' s strategy for the iPhone going forwards .,Product/Service,price,,,16,,,,,,,,,,,
aapl14_2,missing,"Although the new iOS-powered handset has been pitched as the future of the smartphone , it ' s a future that will see market share falling , even as Apple maintains its profit margin .",CSR/Brand,pitched,,,46,,,,,y,,,,,,
aapl14_2,missing,"Although the new iOS-powered handset has been pitched as the future of the smartphone , it ' s a future that will see market share falling , even as Apple maintains its profit margin .",Product/Service,new,,,41,,,,,,,,,,,
aapl14_4,spurious,Comparing that to the list price gives a gross profit margin of sixty-four percent .,,,Profit/Loss,profit,,112,1,,,,,,,,,
aapl14_5,spurious,"Once you add in R & D costs , manufacturing , shipping , distribution , and other ancillary costs , the iPhone X should offer Apple the almost traditional forty percent margin on the final handset sale .",,,Expense,costs,,125,,,,,,y,,,,
aapl14_5,missing,"Once you add in R & D costs , manufacturing , shipping , distribution , and other ancillary costs , the iPhone X should offer Apple the almost traditional forty percent margin on the final handset sale .",SalesVolume,sale,,,154,,,,,,,,,,,
aapl14_5,missing,"Once you add in R & D costs , manufacturing , shipping , distribution , and other ancillary costs , the iPhone X should offer Apple the almost traditional forty percent margin on the final handset sale .",Expense,costs,,,136,,,,,,,y,,,,
aapl14_6,missing,"That ' s a lot of margin to enjoy , and there ' s an argument that Apple could have sold more units had the price been lower .",Profit/Loss,margin,,,162,,,,,,,,,,,
aapl14_6,missing,"That ' s a lot of margin to enjoy , and there ' s an argument that Apple could have sold more units had the price been lower .",Product/Service,price,,,181,,,,,,,,,,,
aapl14_7,missing,"Putting aside stock issues , the iPhone X pricing suggests that Apple will continue to prize profit margins over unit sales and market share .",Product/Service,pricing,,,193,,,,,,,,,,,
aapl14_8,mismatch_label,"2017 has seen modest growth in the overall smartphone market - IHS Markit has reported seven percent year-on-year grow - but Apple ' s growth has been lagging the growth of the market , with IHS reporting two percent growth in a similar period .",Macroeconomics,growth,SalesVolume,growth,214,214,,,,,,y,,,,
aapl14_8,mismatch_label,"2017 has seen modest growth in the overall smartphone market - IHS Markit has reported seven percent year-on-year grow - but Apple ' s growth has been lagging the growth of the market , with IHS reporting two percent growth in a similar period .",FinancialReport,growth,SalesVolume,growth,234,234,,,,,,y,,,,
aapl14_8,spurious,"2017 has seen modest growth in the overall smartphone market - IHS Markit has reported seven percent year-on-year grow - but Apple ' s growth has been lagging the growth of the market , with IHS reporting two percent growth in a similar period .",,,FinancialReport,reporting,,246,1,,,,,,,,,
